"groups","dates","values","zone"
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
"Host 0[*]",0,0,0
"Host 0[*]",0,4,0
"Host 0[*]",0,4,0
