"","Total Hosts","No contaminated","Total Hosts(repeated)","No infected","Eggs Amt","Eggs Amt Infected","No Colonized","Faeces Amt","Faeces Amt Infected","TimeUnit","Zone","variable","value"
"1",2000,0,2000,187,70,6,187,488,42,1,"Zone 0","%Contaminated",0
"2",0,0,0,0,0,0,0,0,0,1,"Zone 1","%Contaminated",0
"3",0,0,0,0,0,0,0,0,0,1,"Zone 2","%Contaminated",0
"4",0,0,0,0,0,0,0,0,0,1,"Zone 3","%Contaminated",0
"5",1,0,1,0,1,0,0,1,0,1,"Collection Zone","%Contaminated",0
"6",2000,6,2000,186,143,10,186,998,80,2,"Zone 0","%Contaminated",0.299850074962519
"7",0,0,0,0,0,0,0,0,0,2,"Zone 1","%Contaminated",0
"8",0,0,0,0,0,0,0,0,0,2,"Zone 2","%Contaminated",0
"9",0,0,0,0,0,0,0,0,0,2,"Zone 3","%Contaminated",0
"10",1,0,1,0,1,0,0,1,0,2,"Collection Zone","%Contaminated",0
"11",0,0,0,0,143,10,0,998,80,3,"Zone 0","%Contaminated",0
"12",2000,6,2000,184,55,4,184,502,37,3,"Zone 1","%Contaminated",0.299850074962519
"13",0,0,0,0,0,0,0,0,0,3,"Zone 2","%Contaminated",0
"14",0,0,0,0,0,0,0,0,0,3,"Zone 3","%Contaminated",0
"15",1,0,1,0,1,0,0,1,0,3,"Collection Zone","%Contaminated",0
"16",0,0,0,0,143,10,0,998,80,4,"Zone 0","%Contaminated",0
"17",2000,32,2000,184,122,7,183,1009,79,4,"Zone 1","%Contaminated",1.5992003998001
"18",0,0,0,0,0,0,0,0,0,4,"Zone 2","%Contaminated",0
"19",0,0,0,0,0,0,0,0,0,4,"Zone 3","%Contaminated",0
"20",1,0,1,0,1,0,0,1,0,4,"Collection Zone","%Contaminated",0
"21",0,0,0,0,143,10,0,998,80,5,"Zone 0","%Contaminated",0
"22",2000,67,2000,184,198,10,182,1513,128,5,"Zone 1","%Contaminated",3.34832583708146
"23",0,0,0,0,0,0,0,0,0,5,"Zone 2","%Contaminated",0
"24",0,0,0,0,0,0,0,0,0,5,"Zone 3","%Contaminated",0
"25",1,0,1,0,1,0,0,1,0,5,"Collection Zone","%Contaminated",0
"26",0,0,0,0,143,10,0,998,80,6,"Zone 0","%Contaminated",0
"27",2000,96,2000,186,261,14,182,1987,170,6,"Zone 1","%Contaminated",4.7976011994003
"28",0,0,0,0,0,0,0,0,0,6,"Zone 2","%Contaminated",0
"29",0,0,0,0,0,0,0,0,0,6,"Zone 3","%Contaminated",0
"30",1,0,1,0,1,0,0,1,0,6,"Collection Zone","%Contaminated",0
"31",0,0,0,0,143,10,0,998,80,7,"Zone 0","%Contaminated",0
"32",2000,135,2000,189,334,20,180,2513,236,7,"Zone 1","%Contaminated",6.74662668665667
"33",0,0,0,0,0,0,0,0,0,7,"Zone 2","%Contaminated",0
"34",0,0,0,0,0,0,0,0,0,7,"Zone 3","%Contaminated",0
"35",1,0,1,0,1,0,0,1,0,7,"Collection Zone","%Contaminated",0
"36",0,0,0,0,143,10,0,998,80,8,"Zone 0","%Contaminated",0
"37",2000,171,2000,190,396,23,178,3007,284,8,"Zone 1","%Contaminated",8.54572713643178
"38",0,0,0,0,0,0,0,0,0,8,"Zone 2","%Contaminated",0
"39",0,0,0,0,0,0,0,0,0,8,"Zone 3","%Contaminated",0
"40",1,0,1,0,1,0,0,1,0,8,"Collection Zone","%Contaminated",0
"41",0,0,0,0,143,10,0,998,80,9,"Zone 0","%Contaminated",0
"42",2000,187,2000,196,479,28,176,3494,337,9,"Zone 1","%Contaminated",9.34532733633183
"43",0,0,0,0,0,0,0,0,0,9,"Zone 2","%Contaminated",0
"44",0,0,0,0,0,0,0,0,0,9,"Zone 3","%Contaminated",0
"45",1,0,1,0,1,0,0,1,0,9,"Collection Zone","%Contaminated",0
"46",0,0,0,0,143,10,0,998,80,10,"Zone 0","%Contaminated",0
"47",2000,212,2000,199,547,34,174,4023,395,10,"Zone 1","%Contaminated",10.5947026486757
"48",0,0,0,0,0,0,0,0,0,10,"Zone 2","%Contaminated",0
"49",0,0,0,0,0,0,0,0,0,10,"Zone 3","%Contaminated",0
"50",1,0,1,0,1,0,0,1,0,10,"Collection Zone","%Contaminated",0
"51",0,0,0,0,143,10,0,998,80,11,"Zone 0","%Contaminated",0
"52",2000,232,2000,200,616,34,173,4524,445,11,"Zone 1","%Contaminated",11.5942028985507
