"interaction","time","count"
"Egg -> Host",4,2
"Egg -> Host",8,1
"Egg -> Host",61,1
"Faeces -> Egg",27,1
"Faeces -> Egg",43,1
"Faeces -> Egg",47,1
"Faeces -> Egg",57,1
"Faeces -> Egg",58,1
"Faeces -> Egg",62,1
"Faeces -> Host",1,3
"Faeces -> Host",2,2
"Faeces -> Host",3,2
"Faeces -> Host",5,1
"Faeces -> Host",6,2
"Faeces -> Host",7,2
"Faeces -> Host",8,2
"Faeces -> Host",11,1
"Faeces -> Host",13,1
"Faeces -> Host",18,2
"Faeces -> Host",21,1
"Faeces -> Host",29,1
"Faeces -> Host",30,1
"Faeces -> Host",31,1
"Faeces -> Host",32,1
"Faeces -> Host",39,1
"Faeces -> Host",43,2
"Faeces -> Host",45,1
"Faeces -> Host",47,1
"Faeces -> Host",52,1
"Faeces -> Host",53,1
"Faeces -> Host",55,2
"Faeces -> Host",56,1
"Faeces -> Host",57,2
"Faeces -> Host",58,2
"Faeces -> Host",59,7
"Faeces -> Host[*]",3,1
"Faeces -> Host[*]",7,1
"Faeces -> Host[*]",8,3
"Faeces -> Host[*]",11,1
"Faeces -> Host[*]",18,3
"Faeces -> Host[*]",19,1
"Faeces -> Host[*]",20,1
"Faeces -> Host[*]",21,1
"Faeces -> Host[*]",22,1
"Faeces -> Host[*]",23,1
"Faeces -> Host[*]",28,1
"Faeces -> Host[*]",30,1
"Faeces -> Host[*]",31,1
"Faeces -> Host[*]",32,1
"Faeces -> Host[*]",34,1
"Faeces -> Host[*]",39,1
"Faeces -> Host[*]",40,1
"Faeces -> Host[*]",41,1
"Faeces -> Host[*]",43,2
"Faeces -> Host[*]",46,1
"Faeces -> Host[*]",47,1
"Faeces -> Host[*]",52,2
"Faeces -> Host[*]",53,3
"Faeces -> Host[*]",54,2
"Faeces -> Host[*]",55,1
"Faeces -> Host[*]",56,1
"Faeces -> Host[*]",57,3
"Faeces -> Host[*]",58,1
"Faeces -> Host[*]",59,9
"Faeces -> Host[*]",61,1
"Faeces -> Host[*]",62,1
"Faeces <-> Faeces",59,3
"Feed infection",38,4
"Feed infection",62,2
"Host -> Egg",11,1
"Host -> Egg",12,1
"Host -> Egg",16,2
"Host -> Egg",17,1
"Host -> Egg",18,3
"Host -> Egg",21,2
"Host -> Egg",22,2
"Host -> Egg",24,3
"Host -> Egg",25,3
"Host -> Egg",26,2
"Host -> Egg",27,1
"Host -> Egg",28,5
"Host -> Egg",29,2
"Host -> Egg",30,3
"Host -> Egg",31,8
"Host -> Egg",33,2
"Host -> Egg",34,1
"Host -> Egg",35,1
"Host -> Egg",36,1
"Host -> Egg",37,3
"Host -> Egg",38,4
"Host -> Egg",39,1
"Host -> Egg",40,2
"Host -> Egg",41,2
"Host -> Egg",44,6
"Host -> Egg",45,2
"Host -> Egg",46,3
"Host -> Egg",47,3
"Host -> Egg",48,11
"Host -> Egg",49,13
"Host -> Egg",50,11
"Host -> Egg",51,10
"Host -> Egg",52,8
"Host -> Egg",53,4
"Host -> Egg",54,7
"Host -> Egg",55,3
"Host -> Egg",56,11
"Host -> Egg",57,14
"Host -> Egg",58,9
"Host -> Egg",59,10
"Host -> Egg",60,10
"Host -> Egg",61,13
"Host -> Egg",62,2
"Host -> Egg",63,6
"Host 0[*]",0,18
"Host <-> Host",3,1
"Host <-> Host",5,2
"Host <-> Host",6,1
"Host <-> Host",8,1
"Host <-> Host",9,5
"Host <-> Host",12,1
"Host <-> Host",14,2
"Host <-> Host",16,3
"Host <-> Host",18,1
"Host <-> Host",19,1
"Host <-> Host",20,1
"Host <-> Host",22,1
"Host <-> Host",24,1
"Host <-> Host",25,1
"Host <-> Host",26,3
"Host <-> Host",27,2
"Host <-> Host",29,1
"Host <-> Host",30,1
"Host <-> Host",31,2
"Host <-> Host",34,1
"Host <-> Host",35,1
"Host <-> Host",39,1
"Host <-> Host",43,4
"Host <-> Host",44,1
"Host <-> Host",45,1
"Host <-> Host",46,3
"Host <-> Host",47,6
"Host <-> Host",48,6
"Host <-> Host",49,2
"Host <-> Host",50,2
"Host <-> Host",51,2
"Host <-> Host",52,5
"Host <-> Host",53,5
"Host <-> Host",54,3
"Host <-> Host",55,6
"Host <-> Host",56,8
"Host <-> Host",57,5
"Host <-> Host",58,5
"Host <-> Host",59,17
"Host <-> Host",60,1
"Host <-> Host",61,2
"Host <-> Host",62,2
"Host <-> Host",63,5
"Host <-> Host",64,3
"marker",0,3
